token_0,BIO_tag_0
Menteri,
 ,O
BUMN,
 ,O
Erick,
 ,O
Thohir,
 ,O
meluncurkan,
 ,O
logo,
 ,O
baru,
 ,O
Kementerian,
 ,O
BUMN,
 ,O
di,
 ,O
halaman,
 ,O
kantor,
 ,O
Kementerian,
 ,O
BUMN,
",",O
 ,O
Jakarta,
",",O
 ,O
Rabu,
 ,O
(,
1/7,
),
.,
 ,O
REPUBLIKA.CO.ID,
",",O
 ,O
JAKARTA,
 ,O
--,
 ,O
Menteri,
 ,O
Badan,
 ,O
Usaha,
 ,O
Milik,
 ,O
Negara,
 ,O
(,
BUMN,
),
 ,O
Erick,
 ,O
Thohir,
 ,O
secara,
 ,O
resmi,
 ,O
menetapkan,
 ,O
akhlak,
 ,O
sebagai,
 ,O
core,
 ,O
value,
 ,O
dari,
 ,O
BUMN,
 ,O
pada,
 ,O
Rabu,
 ,O
(,
1/7,
),
.,
 ,O
Penetapan,
 ,O
akhlak,
 ,O
sebagai,
 ,O
core,
 ,O
value,
 ,O
BUMN,
 ,O
bersamaan,
 ,O
dengan,
 ,O
acara,
 ,O
perubahan,
 ,O
logo,
 ,O
dan,
 ,O
slogan,
 ,O
Kementerian,
 ,O
BUMN,
.,
``,
Hari,
 ,O
ini,
 ,O
juga,
 ,O
saya,
 ,O
ingin,
 ,O
menetapkan,
 ,O
akhlak,
 ,O
sebagai,
 ,O
core,
 ,O
value,
 ,O
bukan,
 ,O
lip,
 ,O
service,
 ,O
karena,
 ,O
kalau,
 ,O
kita,
 ,O
bekerja,
 ,O
ada,
 ,O
core,
 ,O
value,
",",O
 ,O
ini,
 ,O
yang,
 ,O
membuat,
 ,O
kita,
 ,O
kuat,
",",O
'',
 ,O
ujar,
 ,O
Erick,
 ,O
saat,
 ,O
meresmikan,
 ,O
perubahan,
 ,O
logo,
 ,O
dan,
 ,O
slogan,
 ,O
Kementerian,
 ,O
BUMN,
 ,O
di,
 ,O
halaman,
 ,O
kantor,
 ,O
Kementerian,
 ,O
BUMN,
 ,O
di,
 ,O
Jalan,
 ,O
Medan,
 ,O
Merdeka,
 ,O
Selatan,
",",O
 ,O
Jakarta,
",",O
 ,O
Rabu,
 ,O
(,
1/7,
),
.Erick,
 ,O
menjadikan,
 ,O
akhlak,
 ,O
sebagai,
 ,O
panduan,
 ,O
bagi,
 ,O
manajemen,
 ,O
BUMN,
 ,O
untuk,
 ,O
dapat,
 ,O
bekerja,
 ,O
dengan,
 ,O
benar,
 ,O
demi,
 ,O
kepentingan,
 ,O
bangsa,
",",O
 ,O
bukan,
 ,O
kepentingan,
 ,O
pribadi,
 ,O
atau,
 ,O
kelompok,
.,
 ,O
Erick,
 ,O
memerinci,
 ,O
akronim,
 ,O
akhlak,
 ,O
terdiri,
 ,O
atas,
 ,O
amanah,
",",O
 ,O
kompeten,
",",O
 ,O
harmonis,
",",O
 ,O
loyal,
",",O
 ,O
adaptif,
",",O
 ,O
dan,
 ,O
kolaboratif.Erick,
 ,O
menilai,
 ,O
faktor,
 ,O
akhlak,
 ,O
sangat,
 ,O
vital,
 ,O
bagi,
 ,O
BUMN,
 ,O
untuk,
 ,O
maju,
.,
 ,O
Ia,
 ,O
mencontohkan,
 ,O
poin,
 ,O
penting,
 ,O
loyal,
 ,O
yang,
 ,O
harus,
 ,O
menjadi,
 ,O
acuan,
 ,O
bagi,
 ,O
manajemen,
 ,O
BUMN,
 ,O
bekerja,
 ,O
untuk,
 ,O
kepentingan,
 ,O
bangsa,
 ,O
dan,
 ,O
tidak,
 ,O
menyalahgunakan,
 ,O
kewenangan,
 ,O
untuk,
 ,O
kepentingan,
 ,O
pribadi,
 ,O
atau,
 ,O
kelompok,
.,
``,
Ada,
 ,O
53,
 ,O
kasus,
 ,O
hukum,
 ,O
di,
 ,O
BUMN,
 ,O
yang,
 ,O
kita,
 ,O
nggak,
 ,O
mau,
 ,O
terulang,
 ,O
lagi,
",",O
 ,O
ini,
 ,O
kenapa,
 ,O
akhlak,
 ,O
penting,
",",O
'',
 ,O
ungkap,
 ,O
Erick,
.,
 ,O
Kata,
 ,O
akhlak,
 ,O
memang,
 ,O
lekat,
 ,O
dengan,
 ,O
Erick,
 ,O
sejak,
 ,O
awal,
 ,O
menjabat,
 ,O
sebagai,
 ,O
Menteri,
 ,O
BUMN,
.,
 ,O
Dalam,
 ,O
setiap,
 ,O
kesempatan,
",",O
 ,O
mantan,
 ,O
pemilik,
 ,O
Inter,
 ,O
Milan,
 ,O
itu,
 ,O
selalu,
 ,O
menaruh,
 ,O
pesan,
 ,O
pentingnya,
 ,O
akhlak,
 ,O
bagi,
 ,O
manajemen,
 ,O
BUMN,
.,
``,
InsyaAllah,
 ,O
saya,
 ,O
yakini,
 ,O
dengan,
 ,O
kerja,
 ,O
keras,
 ,O
kita,
 ,O
semua,
 ,O
dan,
 ,O
akhlak,
 ,O
sebagai,
 ,O
core,
 ,O
value,
",",O
 ,O
bismillah,
 ,O
lillahi,
 ,O
taala,
",",O
 ,O
Allah,
 ,O
SWT,
 ,O
akan,
 ,O
memudahkan,
",",O
'',
 ,O
kata,
 ,O
Erick,
.,
